CD #,Parish,Parish Pop. in CD,% of CD in Parish
1,Jefferson,232558,0.308
1,Lafourche,46243,0.061
1,Orleans,41766,0.055
1,Plaquemines,23042,0.031
1,St. Bernard,35897,0.048
1,St. Tammany,233740,0.309
1,Tangipahoa,72728,0.096
1,Terrebonne,69471,0.092
2,Ascension,20312,0.027
2,Assumption,7637,0.01
2,East Baton Rouge,102184,0.135
2,Iberville,23326,0.031
2,Jefferson,199994,0.265
2,Orleans,302063,0.4
2,St. Charles,33730,0.045
2,St. James,22102,0.029
2,St. John the Baptist,33564,0.044
2,West Baton Rouge,10626,0.014
3,Acadia,61773,0.082
3,Calcasieu,192768,0.255
3,Cameron,6839,0.009
3,Iberia,73240,0.097
3,Jefferson Davis,31594,0.042
3,Lafayette,221578,0.293
3,St. Landry,2995,0.004
3,St. Martin,52160,0.069
3,St. Mary,54650,0.072
3,Vermilion,57999,0.077
4,Allen,25764,0.034
4,Beauregard,35654,0.047
4,Bienville,14353,0.019
4,Bossier,116979,0.155
4,Caddo,254969,0.337
4,Claiborne,17195,0.023
4,De Soto,26656,0.035
4,Evangeline,33984,0.045
4,Natchitoches,39566,0.052
4,Red River,9091,0.012
4,Sabine,24233,0.032
4,St. Landry,40899,0.054
4,Union,22721,0.03
4,Vernon,52334,0.069
4,Webster,41207,0.055
5,Avoyelles,42073,0.056
5,Caldwell,10132,0.013
5,Catahoula,10407,0.014
5,Concordia,20822,0.028
5,East Carroll,7759,0.01
5,East Feliciana,11728,0.016
5,Franklin,20767,0.027
5,Grant,22309,0.03
5,Jackson,16274,0.022
5,La Salle,14890,0.02
5,Lincoln,46735,0.062
5,Madison,12093,0.016
5,Morehouse,27979,0.037
5,Ouachita,153720,0.203
5,Rapides,131613,0.174
5,Richland,20725,0.027
5,St. Helena,2734,0.004
5,St. Landry,39490,0.052
5,Tangipahoa,48369,0.064
5,Tensas,5252,0.007
5,Washington,47168,0.062
5,West Carroll,11604,0.015
5,West Feliciana,15625,0.021
5,Winn,15313,0.02
6,Ascension,86903,0.115
6,Assumption,15784,0.021
6,East Baton Rouge,337987,0.447
6,East Feliciana,8539,0.011
6,Iberville,10061,0.013
6,Lafourche,50075,0.066
6,Livingston,128026,0.169
6,Pointe Coupee,22802,0.03
6,St. Charles,19050,0.025
6,St. Helena,8469,0.011
6,St. John the Baptist,12360,0.016
6,Terrebonne,42389,0.056
6,West Baton Rouge,13162,0.017
