County,CD #,CD Pop. in County,% of County in CD
Adair,1,18656,1
Allen,1,19956,1
Anderson,6,21421,1
Ballard,1,8249,1
Barren,2,42173,1
Bath,6,11591,1
Bell,5,28691,1
Boone,4,118811,1
Bourbon,6,19985,1
Boyd,4,40044,0.808
Boyd,5,9498,0.192
Boyle,2,28432,1
Bracken,4,8488,1
Breathitt,5,13878,1
Breckinridge,2,20059,1
Bullitt,2,74319,1
Butler,2,12690,1
Caldwell,1,12984,1
Calloway,1,37191,1
Campbell,4,90336,1
Carlisle,1,5104,1
Carroll,4,10811,1
Carter,5,27720,1
Casey,1,15955,1
Christian,1,73955,1
Clark,6,35613,1
Clay,5,21730,1
Clinton,1,10272,1
Crittenden,1,9315,1
Cumberland,1,6856,1
Daviess,2,96656,1
Edmonson,2,12161,1
Elliott,5,7852,1
Estill,6,14672,1
Fayette,6,295803,1
Fleming,6,14348,1
Floyd,5,39451,1
Franklin,6,49285,1
Fulton,1,6813,1
Gallatin,4,8589,1
Garrard,2,16912,1
Grant,4,24662,1
Graves,1,37121,1
Grayson,2,25746,1
Green,2,11258,1
Greenup,4,36910,1
Hancock,2,8565,1
Hardin,2,105543,1
Harlan,5,29278,1
Harrison,4,11787,0.625
Harrison,6,7059,0.375
Hart,2,18199,1
Henderson,1,46250,1
Henry,4,15416,1
Hickman,1,4902,1
Hopkins,1,46920,1
Jackson,5,13494,1
Jefferson,3,723171,0.976
Jefferson,4,17925,0.024
Jessamine,2,12405,0.255
Jessamine,6,36181,0.745
Johnson,5,23356,1
Kenton,4,159720,1
Knott,5,16346,1
Knox,5,31883,1
Larue,2,14193,1
Laurel,5,58849,1
Lawrence,5,15860,1
Lee,5,7887,1
Leslie,5,11310,1
Letcher,5,24519,1
Lewis,4,13870,1
Lincoln,2,5,0
Lincoln,5,24737,1
Livingston,1,9519,1
Logan,1,26835,1
Lyon,1,8314,1
McCracken,1,65565,1
McCreary,5,18306,1
McLean,1,9531,1
Madison,6,82916,1
Magoffin,5,13333,1
Marion,1,19820,1
Marshall,1,31448,1
Martin,5,12929,1
Mason,4,17490,1
Meade,2,28602,1
Menifee,6,6306,1
Mercer,2,21331,1
Metcalfe,1,10099,1
Monroe,1,10963,1
Montgomery,6,26499,1
Morgan,5,13923,1
Muhlenberg,1,31499,1
Nelson,2,43437,1
Nicholas,6,7135,1
Ohio,1,23842,1
Oldham,4,60316,1
Owen,4,10841,1
Owsley,5,4755,1
Pendleton,4,14877,1
Perry,5,28712,1
Pike,5,65024,1
Powell,6,12613,1
Pulaski,5,63063,1
Robertson,6,2282,1
Rockcastle,5,17056,1
Rowan,5,23333,1
Russell,1,17565,1
Scott,6,47173,1
Shelby,4,42074,1
Simpson,1,17327,1
Spencer,2,5360,0.314
Spencer,4,11701,0.686
Taylor,1,24512,1
Todd,1,12460,1
Trigg,1,14339,1
Trimble,4,8809,1
Union,1,15007,1
Warren,2,113792,1
Washington,1,413,0.035
Washington,2,11304,0.965
Wayne,5,20813,1
Webster,1,13621,1
Whitley,5,35637,1
Wolfe,6,7355,1
Woodford,6,24939,1
