Parish,CD #,CD Pop. in Parish,% of Parish in CD
Acadia,3,61773,1
Allen,4,25764,1
Ascension,2,20312,0.189
Ascension,6,86903,0.811
Assumption,2,7637,0.326
Assumption,6,15784,0.674
Avoyelles,5,42073,1
Beauregard,4,35654,1
Bienville,4,14353,1
Bossier,4,116979,1
Caddo,4,254969,1
Calcasieu,3,192768,1
Caldwell,5,10132,1
Cameron,3,6839,1
Catahoula,5,10407,1
Claiborne,4,17195,1
Concordia,5,20822,1
De Soto,4,26656,1
East Baton Rouge,2,102184,0.232
East Baton Rouge,6,337987,0.768
East Carroll,5,7759,1
East Feliciana,5,11728,0.579
East Feliciana,6,8539,0.421
Evangeline,4,33984,1
Franklin,5,20767,1
Grant,5,22309,1
Iberia,3,73240,1
Iberville,2,23326,0.699
Iberville,6,10061,0.301
Jackson,5,16274,1
Jefferson,1,232558,0.538
Jefferson,2,199994,0.462
Jefferson Davis,3,31594,1
Lafayette,3,221578,1
Lafourche,1,46243,0.48
Lafourche,6,50075,0.52
La Salle,5,14890,1
Lincoln,5,46735,1
Livingston,6,128026,1
Madison,5,12093,1
Morehouse,5,27979,1
Natchitoches,4,39566,1
Orleans,1,41766,0.121
Orleans,2,302063,0.879
Ouachita,5,153720,1
Plaquemines,1,23042,1
Pointe Coupee,6,22802,1
Rapides,5,131613,1
Red River,4,9091,1
Richland,5,20725,1
Sabine,4,24233,1
St. Bernard,1,35897,1
St. Charles,2,33730,0.639
St. Charles,6,19050,0.361
St. Helena,5,2734,0.244
St. Helena,6,8469,0.756
St. James,2,22102,1
St. John the Baptist,2,33564,0.731
St. John the Baptist,6,12360,0.269
St. Landry,3,2995,0.036
St. Landry,4,40899,0.49
St. Landry,5,39490,0.474
St. Martin,3,52160,1
St. Mary,3,54650,1
St. Tammany,1,233740,1
Tangipahoa,1,72728,0.601
Tangipahoa,5,48369,0.399
Tensas,5,5252,1
Terrebonne,1,69471,0.621
Terrebonne,6,42389,0.379
Union,4,22721,1
Vermilion,3,57999,1
Vernon,4,52334,1
Washington,5,47168,1
Webster,4,41207,1
West Baton Rouge,2,10626,0.447
West Baton Rouge,6,13162,0.553
West Carroll,5,11604,1
West Feliciana,5,15625,1
Winn,5,15313,1
