County,SD #,SD Pop. in County,% of County in SD
Anderson,3,58458,1
Andrews,31,14786,1
Angelina,3,86771,1
Aransas,18,23158,1
Archer,30,9054,1
Armstrong,31,1901,1
Atascosa,19,43923,0.978
Atascosa,21,988,0.022
Austin,18,28417,1
Bailey,31,7165,1
Bandera,24,20485,1
Bastrop,14,74171,1
Baylor,28,3726,1
Bee,21,31861,1
Bell,24,310235,1
Bexar,19,490006,0.286
Bexar,21,11953,0.007
Bexar,25,410768,0.24
Bexar,26,802046,0.468
Blanco,24,10497,1
Borden,28,641,1
Bosque,22,18212,1
Bowie,1,92565,1
Brazoria,11,216713,0.692
Brazoria,17,96453,0.308
Brazos,5,194851,1
Brewster,19,9232,1
Briscoe,31,1637,1
Brooks,20,7223,1
Brown,24,38106,1
Burleson,18,17187,1
Burnet,24,42750,1
Caldwell,21,38066,1
Calhoun,18,21381,1
Callahan,24,13544,1
Cameron,27,406220,1
Camp,1,12401,1
Carson,31,6182,1
Cass,1,30464,1
Castro,31,8062,1
Chambers,4,35096,1
Cherokee,3,50845,1
Childress,28,7041,1
Clay,30,10752,1
Cochran,31,3127,1
Coke,28,3320,1
Coleman,28,8895,1
Collin,8,668605,0.855
Collin,30,113736,0.145
Collingsworth,31,3057,1
Colorado,18,20874,1
Comal,25,108472,1
Comanche,24,13974,1
Concho,28,4087,1
Cooke,30,38437,1
Coryell,24,75388,1
Cottle,28,1505,1
Crane,28,4375,1
Crockett,19,3719,1
Crosby,28,6059,1
Culberson,29,2398,1
Dallam,31,6703,1
Dallas,2,402908,0.17
Dallas,8,126295,0.053
Dallas,9,208574,0.088
Dallas,16,816670,0.345
Dallas,23,813692,0.344
Dawson,28,13833,1
Deaf Smith,31,19372,1
Delta,2,5231,1
Denton,12,546764,0.825
Denton,30,115850,0.175
DeWitt,18,20097,1
Dickens,28,2444,1
Dimmit,19,9996,1
Donley,31,3677,1
Duval,21,11782,1
Eastland,28,18583,1
Ector,31,137130,1
Edwards,19,2002,1
Ellis,22,149610,1
El Paso,29,800647,1
Erath,30,37890,1
Falls,22,17866,1
Fannin,2,33915,1
Fayette,18,24554,1
Fisher,28,3974,1
Floyd,28,6446,1
Foard,28,1336,1
Fort Bend,13,112495,0.192
Fort Bend,17,186302,0.318
Fort Bend,18,286578,0.49
Franklin,1,10605,1
Freestone,5,19816,1
Frio,19,17217,1
Gaines,31,17526,1
Galveston,4,2417,0.008
Galveston,11,288892,0.992
Garza,28,6461,1
Gillespie,24,24837,1
Glasscock,31,1226,1
Goliad,18,7210,1
Gonzales,18,19807,1
Gray,31,22535,1
Grayson,30,120877,1
Gregg,1,121730,1
Grimes,5,26604,1
Guadalupe,21,49858,0.379
Guadalupe,25,81675,0.621
Hale,28,36273,1
Hall,31,3353,1
Hamilton,24,8517,1
Hansford,31,5613,1
Hardeman,28,4139,1
Hardin,3,54635,1
Harris,4,135603,0.033
Harris,6,812881,0.199
Harris,7,809277,0.198
Harris,11,286165,0.07
Harris,13,696185,0.17
Harris,15,793108,0.194
Harris,17,521407,0.127
Harris,18,37833,0.009
Harrison,1,65631,1
Hartley,31,6062,1
Haskell,28,5899,1
Hays,21,48090,0.306
Hays,25,109017,0.694
Hemphill,31,3807,1
Henderson,3,78532,1
Hidalgo,20,448654,0.579
Hidalgo,27,326115,0.421
Hill,22,35089,1
Hockley,28,22935,1
Hood,22,51182,1
Hopkins,2,35161,1
Houston,3,23732,1
Howard,31,35012,1
Hudspeth,29,3476,1
Hunt,2,86129,1
Hutchinson,31,22150,1
Irion,28,1599,1
Jack,30,9044,1
Jackson,18,14075,1
Jasper,3,35710,1
Jeff Davis,29,2342,1
Jefferson,4,252273,1
Jim Hogg,21,5300,1
Jim Wells,20,40838,1
Johnson,22,150934,1
Jones,28,20202,1
Karnes,21,14824,1
Kaufman,2,103350,1
Kendall,25,33410,1
Kenedy,27,416,1
Kent,28,808,1
Kerr,24,49625,1
Kimble,28,4607,1
King,28,286,1
Kinney,19,3598,1
Kleberg,27,32061,1
Knox,28,3719,1
Lamar,1,49793,1
Lamb,28,13977,1
Lampasas,24,19677,1
La Salle,21,6886,1
Lavaca,18,19263,1
Lee,18,16612,1
Leon,5,16801,1
Liberty,3,75643,1
Limestone,5,23384,1
Lipscomb,31,3302,1
Live Oak,21,11531,1
Llano,24,19301,1
Loving,31,82,1
Lubbock,28,278831,1
Lynn,28,5915,1
McCulloch,28,8283,1
McLennan,22,234906,1
McMullen,21,707,1
Madison,5,13664,1
Marion,1,10546,1
Martin,31,4799,1
Mason,28,4012,1
Matagorda,18,36702,1
Maverick,19,54258,1
Medina,19,46006,1
Menard,28,2242,1
Midland,31,136872,1
Milam,5,24757,1
Mills,24,4936,1
Mitchell,28,9403,1
Montague,30,19719,1
Montgomery,3,65140,0.143
Montgomery,4,390606,0.857
Moore,31,21904,1
Morris,1,12934,1
Motley,28,1210,1
Nacogdoches,3,64524,1
Navarro,22,47735,1
Newton,3,14445,1
Nolan,28,15216,1
Nueces,18,3599,0.011
Nueces,20,336624,0.989
Ochiltree,31,10223,1
Oldham,31,2052,1
Orange,3,81837,1
Palo Pinto,30,28111,1
Panola,1,23796,1
Parker,30,116927,1
Parmer,31,10269,1
Pecos,19,15507,1
Polk,3,45413,1
Potter,31,121073,1
Presidio,29,7818,1
Rains,2,10914,1
Randall,31,120725,1
Reagan,28,3367,1
Real,19,3309,1
Red River,1,12860,1
Reeves,19,13783,1
Refugio,18,7383,1
Roberts,31,929,1
Robertson,5,16622,1
Rockwall,2,78337,1
Runnels,28,10501,1
Rusk,1,53330,1
Sabine,3,10834,1
San Augustine,3,8865,1
San Jacinto,3,26384,1
San Patricio,21,64804,1
San Saba,24,6131,1
Schleicher,28,3461,1
Scurry,28,16921,1
Shackelford,28,3378,1
Shelby,3,25448,1
Sherman,31,3034,1
Smith,1,209714,1
Somervell,22,8490,1
Starr,21,60968,1
Stephens,28,9630,1
Sterling,28,1143,1
Stonewall,28,1490,1
Sutton,28,4128,1
Swisher,31,7854,1
Tarrant,9,606877,0.335
Tarrant,10,834267,0.461
Tarrant,12,272074,0.15
Tarrant,22,95816,0.053
Taylor,24,91530,0.696
Taylor,28,39976,0.304
Terrell,19,984,1
Terry,28,12651,1
Throckmorton,28,1641,1
Titus,1,32334,1
Tom Green,28,110224,1
Travis,14,760579,0.743
Travis,21,142602,0.139
Travis,24,48656,0.048
Travis,25,72429,0.071
Trinity,3,14585,1
Tyler,3,21766,1
Upshur,1,39309,1
Upton,28,3355,1
Uvalde,19,26405,1
Val Verde,19,48879,1
Van Zandt,2,52579,1
Victoria,18,86793,1
Walker,5,67861,1
Waller,18,43205,1
Ward,28,10658,1
Washington,18,33718,1
Webb,21,250304,1
Wharton,18,41280,1
Wheeler,31,5410,1
Wichita,30,131500,1
Wilbarger,28,13535,1
Willacy,27,22134,1
Williamson,5,422677,1
Williamson,14,2,0
Wilson,21,42918,1
Winkler,31,7110,1
Wise,30,59127,1
Wood,1,41964,1
Yoakum,31,7879,1
Young,30,18550,1
Zapata,21,14018,1
Zavala,19,11677,1
