LD #,County,County Pop. in LD,% of LD in County
1,Johnson,5217,0.142
1,Nemaha,7248,0.198
1,Otoe,13041,0.356
1,Pawnee,2773,0.076
1,Richardson,8363,0.228
2,Cass,25241,0.662
2,Otoe,2699,0.071
2,Sarpy,10190,0.267
3,Sarpy,36801,1
4,Douglas,37056,1
5,Douglas,37119,1
6,Douglas,36564,1
7,Douglas,37529,1
8,Douglas,36550,1
9,Douglas,36624,1
10,Douglas,36804,1
11,Douglas,36814,1
12,Douglas,37055,1
13,Douglas,36227,1
14,Sarpy,37737,1
15,Dodge,36691,1
16,Burt,6858,0.189
16,Cuming,9139,0.252
16,Washington,20234,0.558
17,Dakota,21006,0.56
17,Thurston,6940,0.185
17,Wayne,9595,0.256
18,Douglas,37488,1
19,Madison,34876,0.934
19,Stanton,2457,0.066
20,Douglas,37867,1
21,Lancaster,37976,1
22,Colfax,1591,0.042
22,Platte,32237,0.86
22,Stanton,3672,0.098
23,Butler,8395,0.22
23,Colfax,8924,0.234
23,Saunders,20780,0.545
24,Polk,5406,0.151
24,Seward,16750,0.468
24,York,13665,0.381
25,Lancaster,37487,1
26,Lancaster,37783,1
27,Lancaster,38075,1
28,Lancaster,38303,1
29,Lancaster,38002,1
30,Gage,22311,0.612
30,Lancaster,14159,0.388
31,Douglas,36914,1
32,Fillmore,5890,0.154
32,Jefferson,7547,0.198
32,Lancaster,5334,0.14
32,Saline,14200,0.372
32,Thayer,5228,0.137
33,Adams,31364,0.846
33,Hall,5704,0.154
34,Hall,15263,0.424
34,Hamilton,9124,0.254
34,Merrick,7845,0.218
34,Nance,3735,0.104
35,Hall,37640,1
36,Buffalo,3285,0.085
36,Custer,10939,0.284
36,Dawson,24326,0.631
37,Buffalo,38550,1
38,Buffalo,4267,0.112
38,Clay,6542,0.172
38,Franklin,3225,0.085
38,Kearney,6489,0.171
38,Nuckolls,4500,0.118
38,Phelps,9188,0.242
38,Webster,3812,0.1
39,Douglas,36499,1
40,Boyd,2099,0.056
40,Cedar,8852,0.235
40,Dixon,6000,0.16
40,Holt,10435,0.277
40,Knox,8701,0.231
40,Rock,1526,0.041
41,Antelope,6685,0.173
41,Boone,5505,0.143
41,Garfield,2049,0.053
41,Greeley,2538,0.066
41,Howard,6274,0.163
41,Pierce,7266,0.188
41,Sherman,3152,0.082
41,Valley,4260,0.111
41,Wheeler,818,0.021
42,Lincoln,36288,1
43,Blaine,478,0.013
43,Box Butte,9203,0.243
43,Brown,3145,0.083
43,Cherry,5713,0.151
43,Dawes,9182,0.242
43,Grant,614,0.016
43,Hooker,736,0.019
43,Keya Paha,824,0.022
43,Logan,763,0.02
43,Loup,632,0.017
43,McPherson,539,0.014
43,Sheridan,5469,0.144
43,Thomas,647,0.017
44,Chase,3966,0.107
44,Dundy,2008,0.054
44,Frontier,2756,0.074
44,Furnas,4959,0.134
44,Gosper,2044,0.055
44,Harlan,3423,0.092
44,Hayes,967,0.026
44,Hitchcock,2908,0.078
44,Perkins,2970,0.08
44,Red Willow,11055,0.298
45,Sarpy,36862,1
46,Lancaster,38288,1
47,Arthur,460,0.013
47,Banner,690,0.019
47,Box Butte,2105,0.059
47,Cheyenne,9998,0.279
47,Deuel,1941,0.054
47,Garden,2057,0.057
47,Keith,8368,0.234
47,Kimball,3821,0.107
47,Morrill,5042,0.141
47,Sioux,1311,0.037
48,Scotts Bluff,36970,1
49,Sarpy,37250,1
